hair_color;58;235;58;235;
skin_color;185;86;185;86;
eye_color;73;248;73;248;
gene_chin_forward;"chin_forward_neg";103;"chin_forward_neg";103;
gene_chin_height;"chin_height_pos";134;"chin_height_pos";134;
gene_chin_width;"chin_width_pos";191;"chin_width_neg";114;
gene_eye_angle;"eye_angle_pos";123;"eye_angle_pos";129;
gene_eye_depth;"eye_depth_neg";122;"eye_depth_neg";122;
gene_eye_height;"eye_height_pos";129;"eye_height_pos";129;
gene_eye_distance;"eye_distance_neg";127;"eye_distance_neg";127;
gene_eye_shut;"eye_shut_pos";75;"eye_shut_pos";144;
gene_forehead_angle;"forehead_angle_pos";129;"forehead_angle_pos";129;
gene_forehead_brow_height;"forehead_brow_height_pos";128;"forehead_brow_height_pos";128;
gene_forehead_roundness;"forehead_roundness_neg";85;"forehead_roundness_neg";85;
gene_forehead_width;"forehead_width_neg";120;"forehead_width_neg";120;
gene_forehead_height;"forehead_height_neg";91;"forehead_height_neg";91;
gene_head_height;"head_height_neg";136;"head_height_pos";175;
gene_head_width;"head_width_pos";193;"head_width_pos";162;
gene_head_profile;"head_profile_neg";126;"head_profile_neg";126;
gene_head_top_height;"head_top_height_neg";127;"head_top_height_neg";127;
gene_head_top_width;"head_top_width_pos";167;"head_top_width_pos";167;
gene_jaw_angle;"jaw_angle_pos";43;"jaw_angle_pos";148;
gene_jaw_forward;"jaw_forward_pos";136;"jaw_forward_pos";136;
gene_jaw_height;"jaw_height_pos";128;"jaw_height_pos";128;
gene_jaw_width;"jaw_width_pos";122;"jaw_width_neg";82;
gene_mouth_corner_depth;"mouth_corner_depth_neg";125;"mouth_corner_depth_neg";125;
gene_mouth_corner_height;"mouth_corner_height_neg";118;"mouth_corner_height_neg";118;
gene_mouth_forward;"mouth_forward_neg";123;"mouth_forward_neg";123;
gene_mouth_height;"mouth_height_neg";123;"mouth_height_neg";123;
gene_mouth_width;"mouth_width_neg";124;"mouth_width_neg";124;
gene_mouth_upper_lip_size;"mouth_upper_lip_size_pos";132;"mouth_upper_lip_size_pos";132;
gene_mouth_lower_lip_size;"mouth_lower_lip_size_neg";107;"mouth_lower_lip_size_neg";107;
gene_mouth_open;"mouth_open_neg";72;"mouth_open_neg";72;
gene_neck_length;"neck_length_neg";112;"neck_length_neg";112;
gene_neck_width;"neck_width_pos";162;"neck_width_pos";162;
