hair_color;53;248;53;248;
skin_color;116;109;186;109;
eye_color;80;244;80;244;
gene_chin_forward;"chin_forward_neg";123;"chin_forward_neg";123;
gene_chin_height;"chin_height_neg";118;"chin_height_neg";118;
gene_chin_width;"chin_width_pos";132;"chin_width_pos";132;
gene_eye_angle;"eye_angle_pos";124;"eye_angle_pos";176;
gene_eye_depth;"eye_depth_neg";120;"eye_depth_neg";120;
gene_eye_height;"eye_height_neg";127;"eye_height_neg";127;
gene_eye_distance;"eye_distance_pos";140;"eye_distance_pos";140;
gene_eye_shut;"eye_shut_pos";160;"eye_shut_pos";130;
gene_forehead_angle;"forehead_angle_pos";130;"forehead_angle_pos";130;
gene_forehead_brow_height;"forehead_brow_height_pos";142;"forehead_brow_height_pos";142;
gene_forehead_roundness;"forehead_roundness_neg";106;"forehead_roundness_neg";106;
gene_forehead_width;"forehead_width_neg";76;"forehead_width_neg";76;
gene_forehead_height;"forehead_height_neg";117;"forehead_height_neg";117;
gene_head_height;"head_height_pos";35;"head_height_pos";167;
gene_head_width;"head_width_pos";226;"head_width_neg";100;
gene_head_profile;"head_profile_neg";39;"head_profile_neg";39;
gene_head_top_height;"head_top_height_pos";163;"head_top_height_pos";163;
gene_head_top_width;"head_top_width_pos";160;"head_top_width_pos";160;
gene_jaw_angle;"jaw_angle_pos";138;"jaw_angle_pos";138;
gene_jaw_forward;"jaw_forward_pos";140;"jaw_forward_pos";140;
gene_jaw_height;"jaw_height_pos";132;"jaw_height_pos";132;
gene_jaw_width;"jaw_width_neg";87;"jaw_width_neg";87;
gene_mouth_corner_depth;"mouth_corner_depth_neg";124;"mouth_corner_depth_neg";124;
gene_mouth_corner_height;"mouth_corner_height_neg";142;"mouth_corner_height_neg";114;
gene_mouth_forward;"mouth_forward_pos";150;"mouth_forward_pos";150;
gene_mouth_height;"mouth_height_pos";138;"mouth_height_pos";138;
gene_mouth_width;"mouth_width_neg";97;"mouth_width_neg";97;
gene_mouth_upper_lip_size;"mouth_upper_lip_size_neg";102;"mouth_upper_lip_size_neg";102;
gene_mouth_lower_lip_size;"mouth_lower_lip_size_neg";87;"mouth_lower_lip_size_neg";87;
gene_mouth_open;"mouth_open_neg";18;"mouth_open_neg";18;
gene_neck_length;"neck_length_pos";144;"neck_length_pos";144;
gene_neck_width;"neck_width_pos";138;"neck_width_pos";138;
gene_bs_cheek_forward;"cheek_forward_pos";3;"cheek_forward_pos";3;
gene_bs_cheek_height;"cheek_height_neg";36;"cheek_height_neg";36;
gene_bs_cheek_width;"cheek_width_neg";50;"cheek_width_neg";50;
gene_bs_ear_angle;"ear_angle_pos";30;"ear_angle_pos";30;
